Designator,Mid X,Mid Y,Rotation,Layer
A1,118.4225,-94.03875,0.0,top
C1,123.75,-76.2,270.0,top
C2,121.55,-85.85,315.0,top
C3,113.433623,-87.933623,135.0,top
C4,113.95,-82.2,225.0,top
D1,116.35,-76.81,0.0,top
D2,116.2,-79.1,0.0,top
J1,115.55,-109.8,180.0,top
R1,122.9,-99.75,0.0,top
R2,120.45,-76.8,0.0,top
R3,120.3,-79.0,0.0,top
SW1,121.55,-104.85,90.0,top
U1,119.0625,-93.209861,225.0,top
Y1,115.95,-84.95,45.0,top
